order_id,customer_id,category,value
P0001,C001,eletronicos,1299.90
P0002,C002,livros,89.50
P0003,C001,moveis,450.00
P0004,C003,vestuario,120.75
P0005,C004,eletronicos,2599.00
P0006,C005,livros,45.90
P0007,C002,moveis,780.00
P0008,C006,vestuario,210.30
P0009,C001,eletronicos,999.99
P0010,C007,livros,150.00
P0011,C004,moveis,1250.50
P0012,C008,vestuario,95.00
P0013,C009,eletronicos,3199.90
P0014,C003,livros,62.40
P0015,C010,moveis,540.00
P0016,C005,vestuario,180.25
P0017,C004,eletronicos,1899.90
P0018,C011,livros,74.90
P0019,C009,moveis,999.00
P0020,C012,vestuario,145.60
P0021,C001,eletronicos,499.90
P0022,C007,moveis,860.00
P0023,C013,livros,53.20
P0024,C009,eletronicos,2450.00
P0025,C014,vestuario,199.99
P0026,C004,livros,110.00
P0027,C002,eletronicos,1599.90
P0028,C015,moveis,690.00
P0029,C009,vestuario,260.40
P0030,C006,eletronicos,1120.00
P0031,C003,moveis,375.50
P0032,C010,livros,98.70
P0033,C004,eletronicos,720.00
P0034,C011,vestuario,159.90
P0035,C001,livros,42.30
P0036,C009,eletronicos,1799.00
P0037,C007,moveis,430.00
P0038,C012,eletronicos,650.25
P0039,C005,livros,67.80
P0040,C008,moveis,910.00
P0041,C004,vestuario,88.40
P0042,C013,eletronicos,2099.90
P0043,C002,livros,120.00
P0044,C009,moveis,1340.00
P0045,C014,eletronicos,560.00
P0046,C006,vestuario,175.50
P0047,C010,eletronicos,1450.00
P0048,C001,moveis,320.00
P0049,C015,livros,58.90
P0050,C004,eletronicos,3099.00
P0051,C003,vestuario,240.70
P0052,C007,eletronicos,1299.00
P0053,C011,moveis,505.00
P0054,C009,livros,79.90
P0055,C005,eletronicos,1990.00
P0056,C012,moveis,415.30
P0057,C002,vestuario,132.00
P0058,C008,eletronicos,860.00
P0059,C004,livros,95.60
P0060,C009,eletronicos,2799.90
